author,text,likes,published_at,cleaned,length,emojis,polarity,subjectivity,sentiment,hour,day_of_week,month
@suryapratapsingh6464,"Ye aabb  normal h koi bhi maar deta h 1v4,1v14",1,2021-11-27 11:08:45,Ye aabb normal h koi bhi maar deta h 1v41v14,46,[],0.15,0.6499999999999999,Positive,11,5,11
@rayhan-n1f6e,A1 ❤️,0,2021-11-27 12:19:51,A1,5,['❤'],0.0,0.0,Neutral,12,5,11
@GODL_MAXx,2025🎉,1,2025-06-24 16:09:21,2025,5,['🎉'],0.0,0.0,Neutral,16,1,6
@538sujalgamre6,Plzz invite godl,0,2021-11-27 12:09:53,Plzz invite godl,16,[],0.0,0.0,Neutral,12,5,11
@SumitGupta-pj1xr,Kuch to garbar hain abhi ye post kyu dala,0,2021-11-27 12:15:11,Kuch to garbar hain abhi ye post kyu dala,41,[],0.0,0.0,Neutral,12,5,11
@bulishfx,Soul are the worst kind,1,2022-08-13 13:35:27,Soul are the worst kind,23,[],-0.2,0.95,Negative,13,5,8
@gamingmyths6215,Please invite,0,2021-11-27 15:12:01,Please invite,13,[],0.0,0.0,Neutral,15,5,11
@Balraj01267,Views chahiye inhe,1,2022-01-25 15:06:28,Views chahiye inhe,18,[],0.0,0.0,Neutral,15,1,1
@swarajsahoo3353,Invite indiaan teams plzzz,0,2021-11-29 09:01:19,Invite indiaan teams plzzz,26,[],0.0,0.0,Neutral,9,0,11
@gamingmyths6215,invite,0,2021-11-27 15:11:43,invite,6,[],0.0,0.0,Neutral,15,5,11
@Bunty-GG,Kon kon 2024 BMPS ke bad dekhra hai 💪💛,0,2024-09-30 12:49:12,Kon kon 2024 BMPS ke bad dekhra hai,38,"['💪', '💛']",-0.6999999999999998,0.6666666666666666,Negative,12,0,9
@Callzzzgaming-z6k,Aja Jonny maza ayega tere sath khelkee🤣😂,0,2021-12-01 03:50:19,Aja Jonny maza ayega tere sath khelkee,40,"['🤣', '😂']",0.0,0.0,Neutral,3,2,12
@armycamp239,Who is this guy? Where is he from?,0,2021-11-28 09:35:49,Who is this guy Where is he from,34,[],0.0,0.0,Neutral,9,6,11
@PuneetMaurya-f8v,2025,1,2025-05-18 10:28:38,2025,4,[],0.0,0.0,Neutral,10,6,5
@HitmanOp16,💀,0,2024-02-04 15:36:38,,1,['💀'],0.0,0.0,Neutral,15,6,2
@FannyAntonia-g2l,Lee Betty Clark Mary Hernandez Ruth,0,2024-09-02 10:13:49,Lee Betty Clark Mary Hernandez Ruth,35,[],0.0,0.0,Neutral,10,0,9
@abrahamserrano4020,Carrilho it&#39;s much better,0,2021-11-27 17:14:00,Carrilho it much better,29,[],0.5,0.5,Positive,17,5,11
@alqor9889,100% indians who comment,0,2021-11-27 12:11:08,100 indians who comment,24,[],0.0,0.0,Neutral,12,5,11
@nhk3048,Its pmwl not pmgc he is still a child on global level,5,2022-01-28 02:34:55,Its pmwl not pmgc he is still a child on global level,53,[],0.0,0.0,Neutral,2,4,1
@JoulePaul-v9r,Perez Jessica White Lisa Johnson Nancy,0,2024-09-21 19:09:04,Perez Jessica White Lisa Johnson Nancy,38,[],0.0,0.0,Neutral,19,5,9
@NicholasChristine-w4l,Miller Jason Wilson Thomas Smith Amy,0,2024-09-16 09:13:19,Miller Jason Wilson Thomas Smith Amy,36,[],0.0,0.0,Neutral,9,0,9
@Tharadupdate,Pliz Dost 600 s. Hone wale he pliz help me ❣️🙏,0,2022-01-29 06:46:30,Pliz Dost 600 s Hone wale he pliz help me,46,"['❣', '🙏']",0.0,0.0,Neutral,6,5,1
@evilklutz2390,Bro its just a spray lol indias cant play pubg more,0,2021-11-27 11:46:02,Bro its just a spray lol indias cant play pubg more,51,[],0.65,0.6,Positive,11,5,11
@06_csecs_adityasingh92,Luck bolte😂,1,2023-11-11 04:16:02,Luck bolte,11,['😂'],0.0,0.0,Neutral,4,5,11
@guciyfyif,CCTV,2,2024-02-07 08:16:25,CCTV,4,[],0.0,0.0,Neutral,8,2,2
@Mr-Cinema_24y,hello pubg i am from pakistan please send uc,0,2021-11-28 14:46:15,hello pubg i am from pakistan please send uc,44,[],0.0,0.0,Neutral,14,6,11
@ikeyz4690,Uhekk pmwl better,0,2021-11-27 11:36:21,Uhekk pmwl better,17,[],0.5,0.5,Positive,11,5,11
@riteshyadav9699,Lauranathan 🤣,2,2022-02-02 16:07:20,Lauranathan,13,['🤣'],0.0,0.0,Neutral,16,2,2
@0beats1,OVERRATED 🤬🤬🤬 UNOFFICIAL👿👿👿,1,2025-05-05 11:12:17,OVERRATED UNOFFICIAL,27,"['🤬', '🤬', '🤬', '👿', '👿', '👿']",0.0,0.0,Neutral,11,0,5
@Foxrespect,Easy,0,2024-12-08 02:32:47,Easy,4,[],0.43333333333333335,0.8333333333333334,Positive,2,6,12
@brettfleiner4906,Why show this ancient gameplay? Jonapan is a nobody now. This is classic race baiting PUBG knows they&#39;ll have the whole of India watching and commenting. Jonapan is a nobody...,0,2021-11-28 01:28:00,Why show this ancient gameplay Jonapan is a nobody now This is classic race baiting PUBG knows they have the whole of India watching and commenting Jonapan is a nobody,180,[],0.18333333333333335,0.2833333333333333,Positive,1,6,11
@samirshrestha8282,OVERRATED ASF,0,2021-11-27 14:02:29,OVERRATED ASF,13,[],0.0,0.0,Neutral,14,5,11
